WC_Location,WorkCenter,Date_Wrk,Shift_Wrk,Part_Num,unitperHr,cycle_time(mins),UpQty,scrap,schMins,PlannedDownMins,stopTime,ExpectedRun,ActualRunTime,OEEAvailability,ActualPerformance,ExpectedPerformance,OEEPerformance,OEEQuality
Mytox 1,141-T1XX SAWCUT,2023-03-31 00:00:00,1,J96RU206,197.00,0.3,576,0,240,0,90,240,150,0.625,576,500,1.152,1
Mytox 1,141-T1XX SAWCUT,2023-03-31 00:00:00,2,J96RU206,197.00,0.3,864,0,360,0,120,310,190,0.6129032258064516,864,633.3333333333334,1.3642105263157893,1
Mytox 1,141-T1XX SAWCUT,2023-03-31 00:00:00,3,J96RU206,197.00,0.3,864,0,480,100.2,0,329.8,329.8,1,864,1099.3333333333335,0.7859308671922376,1
Mytox 1,149-0200P026,2023-03-31 00:00:00,2,C6DRL001,69.00,0.87,271,2,480,150,0,280,280,1,271,321.8390804597701,0.8420357142857143,0.992619926199262
Mytox 1,"175->2"" ROLLING MILL + PRENOTCH",2023-03-31 00:00:00,2,FP7BU000,365.00,0.16,1185,4,480,60,45,370,325,0.8783783783783784,1185,2031.25,0.5833846153846154,0.9966244725738397
Mytox 1,181-P708 SIDE BOX ASSY WELD CELL,2023-03-31 00:00:00,1,GBTRU002,21.00,2.86,119,3,480,165.6,0,264.4,264.4,1,119,92.44755244755244,1.2872163388804843,0.9747899159663865
Mytox 1,181-P708 SIDE BOX ASSY WELD CELL,2023-03-31 00:00:00,3,140AR002,121.00,0.5,281,2,240,90,0,150,150,1,281,300,0.9366666666666666,0.9928825622775801
Mytox 1,181-P708 SIDE BOX ASSY WELD CELL,2023-03-31 00:00:00,3,141AL002,121.00,0.5,281,2,240,90,0,150,150,1,281,300,0.9366666666666666,0.9928825622775801
Mytox 1,199-P708 FRONT BOLSTER ASSY,2023-03-31 00:00:00,1,F78MU205,102.00,0.59,524,4,480,75,0,355,355,1,524,601.6949152542373,0.8708732394366197,0.9923664122137404
Mytox 1,199-P708 FRONT BOLSTER ASSY,2023-03-31 00:00:00,3,F78MU205,102.00,0.59,452,0,480,60,60,370,310,0.8378378378378378,452,525.4237288135594,0.860258064516129,1
Mytox 1,204-0400P043,2023-03-31 00:00:00,1,F1TBU011,600.00,0.1,797,0,240,90,75,150,75,0.5,797,750,1.0626666666666666,1
Mytox 1,204-0400P043,2023-03-31 00:00:00,2,N2ANU111,1800.00,0.03,1326,0,420,120,60,250,190,0.76,1326,6333.333333333334,0.20936842105263156,1
Mytox 1,205-0300P007,2023-03-31 00:00:00,1,G65GC011,1103.00,0.05,1500,0,300,120,60,180,120,0.6666666666666666,1500,2400,0.625,1
Mytox 1,205-0300P007,2023-03-31 00:00:00,2,G65GC001,1103.00,0.05,1820,0,150,0,0,150,150,1,1820,3000,0.6066666666666667,1
Mytox 1,205-0300P007,2023-03-31 00:00:00,2,G65GC011,1103.00,0.05,2500,0,330,0,0,280,280,1,2500,5600,0.44642857142857145,1
Mytox 1,206-0800P008,2023-03-31 00:00:00,1,DDSRU401,900.00,0.07,5100,0,480,120,0,310,310,1,5100,4428.571428571428,1.1516129032258065,1
Mytox 1,206-0800P008,2023-03-31 00:00:00,2,F78MU001,827.00,0.07,1000,0,390,210,0,130,130,1,1000,1857.1428571428569,0.5384615384615385,1
Mytox 1,206-0800P008,2023-03-31 00:00:00,2,FV32U201,735.00,0.08,760,0,90,0,0,90,90,1,760,1125,0.6755555555555556,1
Mytox 1,206-0800P008,2023-03-31 00:00:00,3,CDTRU001,900.00,0.07,5072,0,480,75,30,355,325,0.9154929577464789,5072,4642.857142857142,1.0924307692307693,1
Mytox 1,207-0400P009,2023-03-31 00:00:00,1,X65MUC01,87.00,0.69,366,30,480,30,225,400,175,0.4375,366,253.62318840579712,1.443085714285714,0.9180327868852459
Mytox 1,220-C1UX WELDING,2023-03-31 00:00:00,1,G57LR106,66.00,0.91,76,0,480,30,180,400,220,0.55,76,241.75824175824175,0.31436363636363635,1
Mytox 1,220-C1UX WELDING,2023-03-31 00:00:00,1,G64GL006,125.00,0.48,404,4,240,0,0,240,240,1,404,500,0.808,0.9900990099009901
Mytox 1,220-C1UX WELDING,2023-03-31 00:00:00,1,G65GR006,125.00,0.48,404,4,240,0,0,240,240,1,404,500,0.808,0.9900990099009901
